ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
AGFY,5.88,9,1,16,74156,28,338049,8,109716,52,521921,8,39060,16,235615,"28-11-2022 21:59:51"
AGGR,91.53,31,284,31,7539263,18,3352733,32,17482429,81,28374425,12,2160791,9,1743482,"28-11-2022 21:59:51"
AGGRU,7.54,30,23,5,385268,14,3071844,10,1194353,29,2262759,2,335204,10,2894818,"28-11-2022 21:59:51"
AGIL,31.36,48,62,9,637196,5,204995,7,14286288,21,15128479,4,501103,3,204052,"28-11-2022 21:59:51"
AGIO,102.2,55,"1,628",92,7401780,74,8371623,25,40381450,191,56154853,35,5423344,23,2089371,"28-11-2022 21:59:51"
AGLE,72.95,62,56,17,1191271,29,5744396,25,37938625,71,44874292,5,81420,15,1685237,"28-11-2022 21:59:51"
AGMH,1.43,24,1,1,18378,5,516277,1,187487,7,347168,1,18378,3,74018,"28-11-2022 21:59:51"
AGNC,42.14,572,"2,414",226,32913322,181,23908511,82,184065660,489,240887493,65,12711183,63,10604684,"28-11-2022 21:59:51"
AGNCL,0.51,6,1,1,30625,0,0,0,0,1,30625,1,30625,0,0,"28-11-2022 21:59:51"
AGNCM,0.93,9,2,2,73811,1,1791,0,11900,3,87502,1,73750,1,1791,"28-11-2022 21:59:51"
AGNCN,6.71,13,21,1,858419,0,0,1,14000,2,872419,1,858419,0,0,"28-11-2022 21:59:51"
AGNCO,0.2,16,1,1,10500,0,0,0,21167,1,31667,0,0,0,0,"28-11-2022 21:59:51"
AGNCP,1.6,23,7,1,366204,1,1345,1,470,3,368019,1,366204,1,1345,"28-11-2022 21:59:51"
AGRI,4.48,16,1,7,612466,9,97681,3,6054,19,704093,4,508092,7,87258,"28-11-2022 21:59:51"
AGRX,5.71,41,0,18,1324582,9,114086,6,880536,33,2319204,10,638285,2,18561,"28-11-2022 21:59:51"
AGTC,18.2,68,5,19,3230881,23,2102502,14,6978817,56,12312200,8,1820090,11,1368968,"28-11-2022 21:59:51"
AGYS,98.18,25,"1,604",83,1468500,66,1489437,24,21650621,173,24608558,22,683751,11,68374,"28-11-2022 21:59:51"
AHCO,76.64,135,"2,244",127,20447293,63,10369842,19,72434730,209,103251865,58,4573345,25,2905494,"28-11-2022 21:59:51"
AHG,0.72,69,0,3,44865,2,129450,2,319640,7,493955,3,44865,0,0,"28-11-2022 21:59:51"
AHI,0.18,168,0,10,289221,2,43251,1,27839,13,304633,8,278356,2,43251,"28-11-2022 21:59:51"
AHPI,4.14,4,0,3,5432,7,94236,4,66605,14,166273,2,2432,2,30871,"28-11-2022 21:59:51"
AHRN,91.89,30,280,17,6958357,16,4579465,27,16028315,60,27566137,7,1963342,7,1744432,"28-11-2022 21:59:51"
AIB,77.94,9,72,9,472045,4,291018,15,6325934,28,7088997,3,176890,2,280970,"28-11-2022 21:59:51"
AIH,0.94,71,1,1,12287,1,2530,4,651639,6,666456,1,12287,0,0,"28-11-2022 21:59:51"
AIHS,0.65,8,0,3,49811,4,43253,0,42803,7,50261,3,49811,3,42482,"28-11-2022 21:59:51"
AIKI,10.87,5,2,10,155479,3,67172,3,373336,16,595987,3,64802,1,16,"28-11-2022 21:59:51"
AIMC,99.5,65,"3,784",107,2380755,105,2605719,31,59859433,243,64845907,28,365764,18,172289,"28-11-2022 21:59:51"
AIMD,0.35,20,0,7,71030,0,0,0,0,7,71030,7,71030,0,0,"28-11-2022 21:59:51"
AIP,26.14,33,47,35,1431744,18,200503,6,7105765,59,8738012,7,426218,3,61746,"28-11-2022 21:59:51"
AIRG,54.58,10,45,15,263323,25,390013,17,4926337,57,5579673,6,101126,9,84269,"28-11-2022 21:59:51"
AIRS,64.94,56,122,38,1298899,31,919736,10,34257455,79,36476090,15,716507,8,168295,"28-11-2022 21:59:51"
AIRT,9.8,3,6,3,3150,10,24503,3,251060,16,278713,1,250,2,997,"28-11-2022 21:59:51"
AKAM,91.92,157,"13,372",271,8623952,361,43373395,109,92535405,741,144532752,49,1151158,88,928760,"28-11-2022 21:59:51"
AKAN,0.35,29,0,3,20872,7,401781,1,322016,11,100637,1,13047,6,343318,"28-11-2022 21:59:51"
AKBA,28.39,184,13,29,5929647,52,11553407,28,34750352,109,52233406,12,1847645,19,2162095,"28-11-2022 21:59:51"
AKIC,95.75,24,227,24,4031121,23,4618160,39,14004320,86,22653601,11,1784385,13,3186910,"28-11-2022 21:59:51"
AKLI,35.72,78,44,20,27373383,73,22380860,1,21928855,94,27825388,19,27360743,67,18539337,"28-11-2022 21:59:51"
AKRO,99.9,47,"2,141",104,17625184,44,7685767,16,21404577,164,46715528,51,9697624,17,3638696,"28-11-2022 21:59:51"
AKTS,49.53,57,104,55,1245967,59,2254142,36,24963737,150,28463846,11,110296,20,322293,"28-11-2022 21:59:51"
AKTX,0.14,"7,445",6,6,8500108,5,67889,6,1546400,17,10114397,3,8413098,3,59348,"28-11-2022 21:59:51"
AKU,25.75,90,24,11,2408262,10,1792147,7,18885682,28,23086091,7,1316296,8,501156,"28-11-2022 21:59:51"
AKUS,96.67,37,471,24,1925552,27,1560625,24,32229381,75,35715558,11,228586,9,1078944,"28-11-2022 21:59:51"
AKYA,37.9,38,185,34,3188217,20,1785471,11,9411947,65,14385635,11,673777,5,150358,"28-11-2022 21:59:51"
ALBO,93.37,21,425,70,4248395,44,2808609,13,12272480,127,19329484,23,1823104,17,945785,"28-11-2022 21:59:51"
ALBT,0.93,99,0,6,114247,10,111938,7,692407,23,918592,3,101662,6,88136,"28-11-2022 21:59:51"
ALCO,45.01,8,111,46,387493,48,362862,16,2664510,110,3414865,10,90173,20,234686,"28-11-2022 21:59:51"
ALDX,63.33,59,203,37,6043348,52,5931248,21,25114057,110,37088653,15,1799726,20,1004722,"28-11-2022 21:59:51"
ALEC,65.21,83,418,90,4366267,62,3755123,32,45806540,184,53927930,31,1188356,16,1034110,"28-11-2022 21:59:51"
ALGM,47.85,191,"2,833",107,6508554,78,4272209,17,80758126,202,91538889,27,2125572,26,1007656,"28-11-2022 21:59:51"
ALGN,86.81,78,"13,201",354,4931668,354,5980272,114,56900608,822,67812548,70,755957,90,356209,"28-11-2022 21:59:51"
ALGS,70.08,40,28,20,696471,31,2759581,18,24382148,69,27838200,7,307702,14,1918789,"28-11-2022 21:59:51"
ALGT,86.65,18,"1,289",126,2752271,86,2716402,37,10474258,249,15942931,18,1442972,31,615821,"28-11-2022 21:59:51"
ALHC,83.6,187,"1,888",116,27263402,27,26622452,15,102667387,158,156553241,66,18246256,5,145152,"28-11-2022 21:59:51"
ALIM,24.52,7,7,5,159658,10,87420,5,1471366,20,1718444,0,0,6,49100,"28-11-2022 21:59:51"
ALKS,98.13,164,"3,902",157,21270424,117,17689672,41,122287452,315,161247548,38,8277352,42,5158141,"28-11-2022 21:59:51"
ALKT,55.58,91,601,64,6708174,21,2106255,15,42025156,100,50839585,21,3064617,7,170702,"28-11-2022 21:59:51"
ALLK,77.19,85,489,60,39179415,56,8756584,21,17834940,137,65770939,32,31297020,30,3443974,"28-11-2022 21:59:51"
ALLO,74.13,144,"1,151",109,12625297,62,6824512,32,87452309,203,106902118,46,2555453,11,234609,"28-11-2022 21:59:51"
ALLR,1.61,10,0,4,28055,2,93628,5,43648,11,165331,1,16147,1,32559,"28-11-2022 21:59:51"
ALLT,72.67,36,103,25,2910859,26,1779382,13,21304790,64,25995031,5,1139822,10,400762,"28-11-2022 21:59:51"
ALNY,108.16,123,"28,305",285,31589211,192,11321355,57,90151749,534,133062315,118,6352379,46,1337733,"28-11-2022 21:59:51"
ALOR,78.18,18,145,18,2630332,9,2086704,32,9483795,59,14200831,9,1418984,5,1127167,"28-11-2022 21:59:51"
ALORU,14.34,16,23,0,0,6,818097,11,1451173,17,2269270,0,0,5,817097,"28-11-2022 21:59:51"
ALOT,45.8,7,40,7,40179,11,57328,15,3267416,33,3364923,0,0,4,16038,"28-11-2022 21:59:51"
ALPA,81.87,16,129,14,1320119,5,416515,23,11286670,42,13023304,8,338607,1,12105,"28-11-2022 21:59:51"
ALPAU,5.7,15,9,5,24936,3,416373,4,440109,12,881418,0,0,2,412590,"28-11-2022 21:59:51"
ALPN,85.91,46,260,40,16115791,24,2481455,12,20849631,76,39446877,16,7491518,6,1866054,"28-11-2022 21:59:51"
ALPP,11.41,178,13,22,8933537,15,1285835,25,10137504,62,20356876,10,8358365,7,76771,"28-11-2022 21:59:51"
ALPS,0.38,34,1,5,127010,0,0,0,0,5,127010,5,127010,0,0,"28-11-2022 21:59:51"
ALR,22.51,33,6,15,337635,31,868943,31,6133334,77,7339912,6,40414,12,579896,"28-11-2022 21:59:51"
ALRM,93.26,50,"2,272",141,1982752,98,1145602,43,43418298,282,46546652,30,247172,22,143095,"28-11-2022 21:59:51"
ALRN,31.2,5,4,13,22089,11,210220,17,1184340,41,1416649,4,5037,7,175564,"28-11-2022 21:59:51"
ALRS,41.7,20,196,43,1052432,27,303472,16,6978691,86,8334595,14,472620,7,122733,"28-11-2022 21:59:51"
ALSA,68.05,15,102,10,1032599,14,334482,17,8640039,41,10007120,3,860547,2,40220,"28-11-2022 21:59:51"
ALT,94.04,49,420,80,17723772,54,11298766,16,17206416,150,46228954,40,7949426,27,3378095,"28-11-2022 21:59:51"
ALTO,52.31,74,140,71,5981645,55,13213961,21,19490605,147,38686211,28,2938515,17,1722795,"28-11-2022 21:59:51"
